Open-1,Open-2,Open-3,High-1,High-2,High-3,Low-1,Low-2,Low-3,Volume-1,Volume-2,Volume-3,Target
218.1,216.8,214.1,219.18,217.19,216.36,215.11,214.03,213.84,30149410.0,25682700.0,18965930.0,213.44
174.28,175.69,175.94,175.15,177.75,176.0,172.89,173.97,174.54,25737560.0,27413060.0,19238480.0,174.32
95.86,96.52,93.13,97.33,96.92,95.7,95.19,93.69,93.04,46418230.0,46315620.0,53920550.0,95.0
100.58,102.37,102.39,101.71,103.75,102.83,100.45,101.37,100.96,36884490.0,46026600.0,35890740.0,100.51
121.67,122.14,120.93,122.44,122.35,121.63,121.6,121.6,120.66,26320740.0,20495340.0,30327110.0,120.42
188.38,186.35,188.77,188.88,188.5,188.84,186.78,185.76,186.21,15228270.0,19966590.0,23129400.0,188.0
232.95,234.9,236.39,237.64,238.13,237.65,232.31,234.67,234.88,41990210.0,24413480.0,23040480.0,227.93
279.57,279.8,279.5,281.77,281.9,281.18,278.8,279.12,278.95,28575800.0,29024690.0,24626950.0,277.0
112.21,113.67,113.38,114.3,115.37,114.18,111.87,113.66,112.52,73991000.0,46594220.0,50278030.0,115.66
277.39,255.94,264.89,281.22,270.0,279.92,271.86,248.0,252.95,64094970.0,104618500.0,92683030.0,277.14
118.34,120.0,119.4,120.24,120.5,120.09,118.22,119.71,119.37,34412090.0,23687350.0,25554290.0,119.11
193.63,194.14,191.17,194.08,194.2,192.0,191.92,192.34,189.77,20912820.0,21329170.0,26580710.0,193.07
97.17,97.41,97.39,97.7,97.67,98.99,97.12,96.84,97.32,24129530.0,25879680.0,38885980.0,96.75
256.77,258.74,258.69,257.49,260.35,260.44,255.37,258.11,256.85,18966120.0,23735080.0,17520500.0,257.05
203.31,202.45,204.09,204.39,204.0,205.87,201.71,202.2,204.0,20191840.0,17595210.0,16947420.0,201.85
199.46,199.54,203.12,201.37,203.38,204.15,198.56,198.61,202.52,25668330.0,28865310.0,24185530.0,198.58
139.37,139.06,138.95,139.77,139.98,139.8,138.6,138.79,138.82,21229890.0,17439210.0,18695500.0,138.78
187.72,187.22,187.99,188.0,188.23,190.26,186.78,186.14,187.75,18503410.0,27468700.0,23377690.0,187.6
170.32,175.49,180.0,173.07,179.12,182.67,169.5,175.35,179.37,23985960.0,31123000.0,32416800.0,173.87
324.74,315.36,320.0,325.98,319.75,324.57,322.85,314.61,320.0,20028450.0,38190550.0,23495990.0,324.19
186.78,186.07,188.0,187.07,188.46,188.91,185.1,186.0,186.36,23639070.0,19046600.0,17014490.0,189.01
107.51,108.73,113.86,108.79,113.03,115.73,107.24,108.6,113.49,62080160.0,111186900.0,90398170.0,102.65
116.52,117.52,116.45,117.8,118.02,117.11,116.49,116.2,116.4,18131970.0,20686510.0,14979680.0,115.59
139.41,140.72,141.0,140.75,141.02,141.0,139.03,140.26,139.89,25676720.0,19173780.0,43700570.0,139.3
143.02,142.9,144.11,143.5,144.75,145.95,142.41,142.9,143.37,24110330.0,18527000.0,21080580.0,143.69
176.15,179.37,178.61,179.25,180.1,179.58,175.07,178.25,177.41,34260230.0,31087330.0,31306390.0,177.9
107.01,102.61,105.75,107.03,105.37,105.85,104.82,102.0,102.41,40885480.0,67569090.0,55583140.0,108.58
207.36,206.83,204.9,208.48,207.76,205.0,207.05,205.12,202.12,17427570.0,18463850.0,18612770.0,204.43
107.28,107.4,107.27,107.37,107.72,108.85,105.57,106.45,107.2,47507230.0,32728460.0,32618140.0,108.91
165.38,166.0,160.4,167.53,167.45,162.11,164.39,159.09,155.3,33753490.0,47597670.0,64398230.0,165.45
208.76,216.42,213.9,210.16,221.37,218.03,207.31,211.3,206.74,33935720.0,69281360.0,54017920.0,208.46
115.04,115.38,116.47,116.2,116.73,116.5,114.98,115.23,115.65,33962370.0,46286150.0,44284660.0,113.84
153.42,153.97,153.17,154.43,154.17,153.33,153.33,152.38,152.22,20118620.0,24452750.0,16383610.0,154.0
203.12,202.83,204.43,204.15,204.94,207.75,202.52,202.34,203.9,24185530.0,17841920.0,23286380.0,199.54
136.43,137.38,135.91,137.12,137.48,136.66,136.11,136.3,135.28,20769030.0,20762360.0,21754600.0,136.23
92.91,93.0,92.9,94.66,93.05,93.66,92.65,91.5,92.14,75219710.0,45595680.0,40387960.0,95.94
201.85,203.31,202.45,203.73,204.39,204.0,201.56,201.71,202.2,17897140.0,20191840.0,17595210.0,199.2
138.85,139.3,139.41,139.43,139.65,140.75,138.82,138.84,139.03,17048800.0,15281850.0,25676720.0,139.25
236.36,250.75,246.52,247.69,258.25,258.68,234.3,244.3,246.36,71882770.0,75900510.0,63140170.0,228.08
322.63,318.62,297.26,324.65,320.45,304.18,318.21,310.5,289.23,25141490.0,32426420.0,55548830.0,320.0
172.05,172.83,171.8,174.26,174.12,173.95,171.42,171.01,171.71,33690660.0,37378070.0,30953760.0,172.36
313.17,315.03,316.68,316.5,318.52,319.52,310.32,313.01,316.2,33843130.0,25432390.0,27876220.0,300.35
137.14,137.08,137.89,137.44,137.44,140.15,136.28,136.7,137.6,20222210.0,23446340.0,36362440.0,135.91
220.78,216.82,219.75,221.36,221.26,222.82,217.29,216.63,219.7,95584080.0,27581270.0,22811140.0,220.24
221.0,223.82,224.79,223.75,226.44,225.84,219.76,223.54,224.02,23430370.0,29729270.0,22560440.0,219.75
111.95,111.36,111.13,112.42,111.51,111.87,111.4,110.33,110.95,25931710.0,27420550.0,11475920.0,110.12
114.42,111.64,113.0,114.79,113.39,113.18,111.55,111.55,112.34,52411070.0,29800240.0,24587490.0,114.35
149.2,150.48,151.5,150.13,151.42,151.74,148.67,149.95,150.19,17837130.0,20859830.0,17170490.0,148.82
241.95,247.51,239.77,259.08,257.61,250.0,240.0,238.4,237.12,80605870.0,81013970.0,75058410.0,264.89
295.52,282.0,263.75,299.55,290.82,278.09,291.41,281.23,263.0,46893220.0,56544250.0,71686210.0,296.44
178.54,172.8,175.21,179.78,176.3,177.74,172.66,172.45,174.52,48706170.0,38426060.0,27825140.0,179.26
263.75,277.14,277.39,278.09,286.44,281.22,263.0,269.37,271.86,71686210.0,71322520.0,64094970.0,282.0
220.95,218.01,224.94,221.85,224.3,225.0,216.47,216.56,219.84,39194720.0,35644510.0,49118510.0,221.85
141.91,141.48,141.41,142.38,141.88,142.04,141.05,140.87,141.11,17775510.0,16529130.0,14676420.0,141.6
223.64,225.46,214.52,227.27,226.35,219.5,222.25,216.05,212.32,26656630.0,41084070.0,52902320.0,222.21
96.05,97.2,96.86,96.76,98.02,98.23,95.25,96.58,96.65,27526040.0,28949760.0,35131460.0,93.98
105.58,106.27,107.52,106.0,107.65,108.37,105.28,106.18,107.16,26781730.0,39546610.0,28010430.0,104.81
174.94,174.24,171.51,176.6,174.95,174.77,172.1,170.26,170.88,23623970.0,44662320.0,41156140.0,179.73
97.65,100.51,100.58,100.77,100.89,101.71,97.42,99.64,100.45,50303500.0,33136130.0,36884490.0,96.86
169.97,171.18,171.04,170.32,171.87,171.39,168.38,170.3,169.64,28998220.0,23598650.0,21884010.0,173.04
160.5,162.61,159.87,162.05,163.96,159.96,159.89,158.77,157.91,31506890.0,71574560.0,44866280.0,160.86
